Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1,1,A,35360,217,150,-150,1,5200,8000,7000,9000,0,0,7000,9000,3,2,0,1,0
2,2,A,35360,217,150,150,2,5200,5500,7000,9000,0,0,7000,9000,3,2,0,1,0
3,1,A,35360,218,0,0,1,1000,950,300,400,0,0,300,400,5,2,0,1,0
4,1,A,35360,220,0,0,1,1500,1500,1000,1200,0,0,1000,1200,5,2,0,1,0
5,1,A,35360,222,0,0,1,4800,4750,4000,5000,0,0,4000,5000,3,2,0,1,0
6,1,A,35360,350,0,0,1,2200,2100,800,1000,0,0,800,1000,3,2,0,0,0
7,2,A,35360,350,0,0,2,2200,1700,800,1000,0,0,800,1000,3,2,0,0,0
8,3,A,35360,350,0,0,3,2200,1050,800,1000,0,0,800,1000,3,2,0,0,0
9,1,A,35360,351,0,0,1,1400,550,1000,1200,0,0,1000,1200,2,2,0,0,0
10,1,A,35360,352,0,0,1,200,340,300,400,0,0,300,400,3,2,0,0,0
11,2,A,35360,353,65,-65,1,420,625,400,500,0,0,400,500,3,2,0,0,0
12,3,A,35360,353,65,65,2,420,550,400,500,0,0,400,500,3,2,0,0,0
13,1,A,35360,353,0,0,3,420,400,400,500,0,0,400,500,3,2,0,0,0
14,2,A,35360,354,0,0,1,130,120,180,200,0,0,180,200,3,2,0,0,0
15,3,A,35360,355,0,0,1,1000,600,300,400,0,0,300,400,3,2,0,0,0
16,1,A,35360,355,0,0,2,1000,400,300,400,0,0,300,400,3,2,0,0,0
17,2,A,35360,355,0,0,3,1000,300,300,400,0,0,300,400,3,2,0,0,0
18,1,A,35360,357,0,0,1,4800,4250,1000,1200,0,0,1000,1200,3,2,0,0,0
19,3,A,35360,357,0,0,2,4800,2100,1000,1200,0,0,1000,1200,3,2,0,0,0
20,2,A,35360,357,0,0,3,4800,1300,1000,1200,0,0,1000,1200,3,2,0,0,0
21,1,A,35360,358,0,0,1,850,300,350,450,0,0,350,450,3,2,0,0,0
22,2,A,35360,358,0,0,2,850,250,350,450,0,0,350,450,3,2,0,0,0
61,1,A,35360,375,0,0,1,750,380,200,300,0,0,200,300,3,2,0,0,0
62,3,A,35360,375,0,0,2,750,320,200,300,0,0,200,300,3,2,0,0,0
63,2,A,35360,375,0,0,3,750,250,200,300,0,0,200,300,3,2,0,0,0
64,2,A,35360,377,0,0,1,420,400,500,600,0,0,500,600,3,2,0,0,0
65,1,A,35360,378,0,0,1,2900,2000,150,200,0,0,150,200,3,2,0,0,0
66,2,A,35360,378,0,0,2,2900,1500,150,200,0,0,150,200,3,2,0,0,0
67,2,A,35360,379,0,0,1,1800,650,500,700,0,0,500,700,3,2,0,0,0
68,1,A,35360,379,0,0,2,1800,550,500,700,0,0,500,700,3,2,0,0,0
69,3,A,35360,379,0,0,3,1800,500,500,700,0,0,500,700,3,2,0,0,0
70,1,A,35360,380,0,0,1,4200,3500,5000,6000,0,0,5000,6000,3,2,0,0,0
71,3,A,35360,382,0,0,1,800,600,250,350,0,0,250,350,3,2,0,0,0
72,2,A,35360,382,0,0,2,800,400,250,350,0,0,250,350,3,2,0,0,0
73,1,A,35360,382,0,0,3,800,350,250,350,0,0,250,350,3,2,0,0,0
74,3,A,35360,383,0,0,1,1300,1500,500,700,0,0,500,700,3,2,0,0,0
75,1,A,35360,383,0,0,2,1300,750,500,700,0,0,500,700,3,2,0,0,0
76,2,A,35360,383,0,0,3,1300,400,500,700,0,0,500,700,3,2,0,0,0
101,3,A,35360,398,0,0,1,500,500,300,400,0,0,300,400,2,2,0,0,0
102,2,A,35360,398,0,0,2,500,400,300,400,0,0,300,400,2,2,0,0,0
103,1,A,35360,398,0,0,3,500,320,300,400,0,0,300,400,2,2,0,0,0
104,2,A,35360,399,0,0,1,650,625,400,500,0,0,400,500,2,1,0,0,0
105,3,A,35360,399,0,0,2,650,600,400,500,0,0,400,500,2,1,0,0,0
106,1,A,35360,399,0,0,3,650,450,400,500,0,0,400,500,2,1,0,0,0
107,1,A,35360,400,0,0,1,190,170,100,150,0,0,100,150,2,2,0,0,0
108,2,A,35360,400,0,0,2,190,120,100,150,0,0,100,150,2,2,0,0,0
