"Data NuEer","bidder","house","date","lot","profit","payment","rank","target_price","ko_bid","est_min_dum","est_max_dum","catalog_price","catalog_du10y","est_min","est_max","grade_min","grade_max","no_grade","us","no_value","ringers","max_bid","ring_winner","highest_ringer","payer","receiver","avg_est","small_lots","ones"
1,1,"A",35360,217,150,-150,1,5200,8000,7000,9000,0,0,7000,9000,3,2,0,1,0,2,8000,0,0,0,1,8000,1,1
2,2,"A",35360,217,150,150,2,5200,5500,7000,9000,0,0,7000,9000,3,2,0,1,0,2,8000,1,1,1,0,8000,1,1
21,1,"A",35360,358,0,0,1,850,300,350,450,0,0,350,450,3,2,0,0,0,2,300,0,0,0,0,400,1,1
22,2,"A",35360,358,0,0,2,850,250,350,450,0,0,350,450,3,2,0,0,0,2,300,0,1,0,0,400,1,1
65,1,"A",35360,378,0,0,1,2900,2000,150,200,0,0,150,200,3,2,0,0,0,2,2000,0,0,0,0,175,1,1
66,2,"A",35360,378,0,0,2,2900,1500,150,200,0,0,150,200,3,2,0,0,0,2,2000,0,1,0,0,175,1,1
107,1,"A",35360,400,0,0,1,190,170,100,150,0,0,100,150,2,2,0,0,0,2,170,0,0,0,0,125,1,1
108,2,"A",35360,400,0,0,2,190,120,100,150,0,0,100,150,2,2,0,0,0,2,170,0,1,0,0,125,1,1
109,1,"A",35360,401,0,0,1,380,375,250,300,0,0,250,300,3,2,0,0,0,2,375,0,0,0,0,275,1,1
110,2,"A",35360,401,0,0,2,380,220,250,300,0,0,250,300,3,2,0,0,0,2,375,0,1,0,0,275,1,1
126,1,"A",35360,407,0,0,1,5800,6500,6000,8000,0,0,6000,8000,3,2,0,0,0,2,6500,0,0,0,0,7000,1,1
127,2,"A",35360,407,0,0,2,5800,3000,6000,8000,0,0,6000,8000,3,2,0,0,0,2,6500,1,1,0,0,7000,1,1
298,1,"B",35409,1909,45,-45,1,270,500,250,250,0,0,250,250,0,0,1,0,0,2,500,0,0,0,1,250,1,1
299,4,"B",35409,1909,45,45,2,270,360,250,250,0,0,250,250,0,0,1,0,0,2,500,1,1,1,0,250,1,1
332,4,"B",35409,1921,0,0,1,62,65,50,50,0,0,50,50,3,2,0,0,0,2,65,0,0,0,0,50,1,1
333,1,"B",35409,1921,0,0,2,62,35,50,50,0,0,50,50,3,2,0,0,0,2,65,1,1,0,0,50,1,1
355,1,"B",35409,1928,0,0,1,280,240,500,500,0,0,500,500,3,2,0,0,0,2,240,0,0,0,0,500,1,1
356,4,"B",35409,1928,0,0,2,280,200,500,500,0,0,500,500,3,2,0,0,0,2,240,0,1,0,0,500,1,1
357,1,"B",35409,1929,0,0,1,360,240,500,500,0,0,500,500,3,3,0,0,0,2,240,0,0,0,0,500,1,1
358,4,"B",35409,1929,0,0,2,360,220,500,500,0,0,500,500,3,3,0,0,0,2,240,0,1,0,0,500,1,1
370,5,"C",35404,1005,0,0,1,500,575,300,500,0,0,300,500,3,2,0,0,0,2,575,0,0,0,0,400,1,1
371,1,"C",35404,1005,0,0,2,500,450,300,500,0,0,300,500,3,2,0,0,0,2,575,1,1,0,0,400,1,1
419,1,"C",35404,1077,275,-275,1,950,1900,1500,2000,0,0,1500,2000,6,6,0,0,0,2,1900,0,0,0,1,1750,1,1
420,5,"C",35404,1077,275,275,2,950,1500,1500,2000,0,0,1500,2000,6,6,0,0,0,2,1900,1,1,1,0,1750,1,1
421,1,"C",35404,1079,62.5,-62.5,1,475,675,500,600,0,0,500,600,6,6,0,0,0,2,675,0,0,0,1,550,1,1
422,5,"C",35404,1079,62.5,62.5,2,475,600,500,600,0,0,500,600,6,6,0,0,0,2,675,1,1,1,0,550,1,1
433,1,"C",35404,1088,75,-75,1,450,750,200,300,0,0,200,300,6,6,0,0,0,2,750,0,0,0,1,250,1,1
434,3,"C",35404,1088,75,75,2,450,600,200,300,0,0,200,300,6,6,0,0,0,2,750,1,1,1,0,250,1,1
443,5,"C",35404,1094,37.5,-37.5,1,525,650,750,750,0,0,750,750,2,2,0,0,0,2,650,0,0,0,1,750,1,1
444,1,"C",35404,1094,37.5,37.5,2,525,600,750,750,0,0,750,750,2,2,0,0,0,2,650,1,1,1,0,750,1,1
446,1,"C",35404,1096,0,0,1,300,360,150,200,0,0,150,200,2,2,0,0,0,2,360,0,0,0,0,175,1,1
447,5,"C",35404,1096,0,0,2,300,275,150,200,0,0,150,200,2,2,0,0,0,2,360,1,1,0,0,175,1,1
448,1,"C",35404,1097,0,0,1,1000,1700,400,600,0,0,400,600,6,2,0,0,0,2,1700,0,0,0,0,500,1,1
449,6,"C",35404,1097,0,0,2,1000,800,400,600,0,0,400,600,6,2,0,0,0,2,1700,1,1,0,0,500,1,1
466,1,"C",35404,1102,175,-175,1,800,1350,750,1000,0,0,750,1000,6,6,0,0,0,2,1350,0,0,0,1,875,1,1
467,5,"C",35404,1102,175,175,2,800,1150,750,1000,0,0,750,1000,6,6,0,0,0,2,1350,1,1,1,0,875,1,1
522,5,"C",35404,1131,62.5,-62.5,1,400,700,400,500,0,0,400,500,6,2,0,0,0,2,700,0,0,0,1,450,1,1
523,1,"C",35404,1131,62.5,62.5,2,400,525,400,500,0,0,400,500,6,2,0,0,0,2,700,1,1,1,0,450,1,1
527,1,"C",35404,1133,0,0,1,750,1150,200,300,0,0,200,300,6,6,0,0,0,2,1150,0,0,0,0,250,1,1
528,5,"C",35404,1133,0,0,2,750,250,200,300,0,0,200,300,6,6,0,0,0,2,1150,1,1,0,0,250,1,1
533,5,"C",35404,1137,0,0,1,450,420,300,400,0,0,300,400,6,2,0,0,0,2,420,0,0,0,0,350,1,1
534,1,"C",35404,1137,0,0,2,450,300,300,400,0,0,300,400,6,2,0,0,0,2,420,0,1,0,0,350,1,1
535,1,"C",35404,1139,0,0,1,750,800,500,500,0,0,500,500,3,2,0,0,0,2,800,0,0,0,0,500,1,1
536,5,"C",35404,1139,0,0,2,750,630,500,500,0,0,500,500,3,2,0,0,0,2,800,1,1,0,0,500,1,1
537,1,"C",35404,1140,0,0,1,300,300,200,300,0,0,200,300,6,2,0,0,0,2,300,0,0,0,0,250,1,1
538,5,"C",35404,1140,0,0,2,300,150,200,300,0,0,200,300,6,2,0,0,0,2,300,1,1,0,0,250,1,1
539,1,"C",35404,1141,0,0,1,260,350,150,200,0,0,150,200,6,2,0,0,0,2,350,0,0,0,0,175,1,1
540,5,"C",35404,1141,0,0,2,260,100,150,200,0,0,150,200,6,2,0,0,0,2,350,1,1,0,0,175,1,1
553,3,"C",35404,1146,40,-40,1,170,360,250,350,0,0,250,350,3,2,0,0,0,2,360,0,0,0,1,300,1,1
554,1,"C",35404,1146,40,40,2,170,250,250,350,0,0,250,350,3,2,0,0,0,2,360,1,1,1,0,300,1,1
573,1,"C",35404,1151,0,0,1,500,500,200,400,0,0,200,400,6,6,0,0,0,2,500,0,0,0,0,300,1,1
574,5,"C",35404,1151,0,0,2,500,250,200,400,0,0,200,400,6,6,0,0,0,2,500,1,1,0,0,300,1,1
578,1,"C",35404,1153,262.5,-262.5,1,525,1700,750,750,0,0,750,750,6,6,0,0,0,2,1700,0,0,0,1,750,1,1
579,3,"C",35404,1153,262.5,262.5,2,525,1050,750,750,0,0,750,750,6,6,0,0,0,2,1700,1,1,1,0,750,1,1
580,1,"C",35404,1154,0,0,1,800,850,500,750,0,0,500,750,6,2,0,0,0,2,850,0,0,0,0,625,1,1
581,5,"C",35404,1154,0,0,2,800,600,500,750,0,0,500,750,6,2,0,0,0,2,850,1,1,0,0,625,1,1
582,1,"C",35404,1155,97.5,-97.5,1,425,900,400,600,0,0,400,600,6,6,0,0,0,2,900,0,0,0,1,500,1,1
583,3,"C",35404,1155,97.5,97.5,2,425,620,400,600,0,0,400,600,6,6,0,0,0,2,900,1,1,1,0,500,1,1
616,3,"C",35404,447,0,0,1,290,510,0,0,870,1,870,870,3,2,0,0,0,2,510,0,0,0,0,870,1,1
617,1,"C",35404,447,0,0,2,290,100,0,0,870,1,870,870,3,2,0,0,0,2,510,1,1,0,0,870,1,1
626,3,"C",35404,543,0,0,1,575,400,100,100,0,0,100,100,6,6,0,0,0,2,400,0,0,0,0,100,1,1
627,1,"C",35404,543,0,0,2,575,340,100,100,0,0,100,100,6,6,0,0,0,2,400,0,1,0,0,100,1,1
631,1,"C",35404,601,0,0,1,180,170,150,250,0,0,150,250,6,6,0,0,0,2,170,0,0,0,0,200,1,1
632,5,"C",35404,601,0,0,2,180,170,150,250,0,0,150,250,6,6,0,0,0,2,170,0,0,0,0,200,1,1
634,3,"C",35404,622,0,0,1,280,260,200,200,0,0,200,200,3,2,0,0,0,2,260,0,0,0,0,200,1,1
635,1,"C",35404,622,0,0,2,280,260,200,200,0,0,200,200,3,2,0,0,0,2,260,0,0,0,0,200,1,1
640,3,"C",35404,656,25,-25,1,450,800,300,500,0,0,300,500,6,6,0,0,0,2,800,0,0,0,1,400,1,1
641,1,"C",35404,656,25,25,2,450,500,300,500,0,0,300,500,6,6,0,0,0,2,800,1,1,1,0,400,1,1
642,1,"C",35404,669,0,0,1,18000,42500,10000,15000,0,0,10000,15000,0,0,1,0,0,2,42500,0,0,0,0,12500,0,1
643,2,"C",35404,669,0,0,2,18000,18000,10000,15000,0,0,10000,15000,0,0,1,0,0,2,42500,1,1,0,0,12500,0,1
646,6,"C",35404,699,25,-25,1,450,550,400,600,0,0,400,600,3,2,0,0,0,2,550,0,0,0,1,500,1,1
647,1,"C",35404,699,25,25,2,450,500,400,600,0,0,400,600,3,2,0,0,0,2,550,1,1,1,0,500,1,1
662,6,"C",35404,747,0,0,1,400,500,200,300,0,0,200,300,6,6,0,0,0,2,500,0,0,0,0,250,1,1
663,1,"C",35404,747,0,0,2,400,320,200,300,0,0,200,300,6,6,0,0,0,2,500,1,1,0,0,250,1,1
664,6,"C",35404,748,0,0,1,350,500,150,250,0,0,150,250,6,2,0,0,0,2,500,0,0,0,0,200,1,1
665,1,"C",35404,748,0,0,2,350,180,150,250,0,0,150,250,6,2,0,0,0,2,500,1,1,0,0,200,1,1
666,1,"C",35404,792,0,0,1,550,250,0,0,1150,1,1150,1150,5,3,0,0,0,2,250,0,0,0,0,1150,1,1
